diff,msg,isGood
mmm a / app / src / main / java / org / thoughtcrime / securesms / mms / PushMediaConstraints . java <nl> ppp b / app / src / main / java / org / thoughtcrime / securesms / mms / PushMediaConstraints . java <nl> public class PushMediaConstraints extends MediaConstraints { <nl> <nl> @ Override <nl> public int getUncompressedVideoMaxSize ( Context context ) { <nl> - return isVideoTranscodeAvailable ( ) ? 300 * MB <nl> + return isVideoTranscodeAvailable ( ) ? 500 * MB <nl> : getVideoMaxSize ( context ) ; <nl> },Increase uncompressed video attachment size to 500 Mb .,0
"mmm a / src / gwc / src / main / java / org / geoserver / gwc / GWC . java <nl> ppp b / src / gwc / src / main / java / org / geoserver / gwc / GWC . java <nl> public final ConveyorTile dispatch ( final GetMapRequest request , <nl> } <nl> try { <nl> verifyAccessLayer ( layerName , bbox ) ; <nl> - } catch ( ServiceException e ) { <nl> + } catch ( ServiceException | SecurityException e ) { <nl> return null ; <nl> } <nl> }",Apply data security to direct integration,0
mmm a / src / main / java / com / jjoe64 / graphview / SecondScale . java <nl> ppp b / src / main / java / com / jjoe64 / graphview / SecondScale . java <nl> public class SecondScale { <nl> mSeries . add ( s ) ; <nl> } <nl> <nl> + public void removeAllSeries ( ) { mSeries . clear ( ) ; } <nl> + <nl> / / public void setYAxisBoundsManual ( boolean mYAxisBoundsManual ) { <nl> / / this . mYAxisBoundsManual = mYAxisBoundsManual ; <nl> / / },Added method to clear the data series in the SecondScale,1
"mmm Demo . java <nl> ppp Demo . java <nl> - System . err . println(""This demo requires OpenGL 4 . 3 or higher .  The Demo version works on OpenGL 3 . 3 or higher . "") ; <nl> + System . err . println(""This demo requires OpenGL 4 . 3 or higher .  The Demo33 version works on OpenGL 3 . 3 or higher . "") ; <nl>",ray trace demo for replace-all mistake,1
mmm a / src / com / facebook / buck / js / JsBundle . java <nl> ppp b / src / com / facebook / buck / js / JsBundle . java <nl> public class JsBundle extends AbstractBuildRule implements JsBundleOutputs { <nl> final SourcePath sourceMapFile = getSourcePathToSourceMap ( ) ; <nl> final SourcePath resourcesDir = getSourcePathToResources ( ) ; <nl> <nl> - this . getProjectFilesystem ( ) . getRootPath ( ) ; <nl> - <nl> String jobArgs = <nl> Stream . concat ( <nl> Stream . of (,Remove accidental call to getRootPath .,0
"mmm a / src / com / google / javascript / jscomp / DiagnosticGroups . java <nl> ppp b / src / com / google / javascript / jscomp / DiagnosticGroups . java <nl> public class DiagnosticGroups { <nl> CheckJSDoc . MISPLACED_ANNOTATION , <nl> CheckJSDoc . MISPLACED_MSG_ANNOTATION ) ; <nl> <nl> + public static final DiagnosticGroup MISPLACED_MSG_ANNOTATION = <nl> + DiagnosticGroups . registerGroup ( "" misplacedMsgAnnotation "" , <nl> + CheckJSDoc . MISPLACED_MSG_ANNOTATION ) ; <nl> + <nl> public static final DiagnosticGroup SUSPICIOUS_CODE = <nl> DiagnosticGroups . registerGroup ( <nl> "" suspiciousCode "" ,",Add new diagnostic group for the MISPLACED_MSG_ANNOTATION . .,0
mmm a / zookeeper / test / com / yahoo / zookeeper / test / TestHammer . java <nl> ppp b / zookeeper / test / com / yahoo / zookeeper / test / TestHammer . java <nl> <nl> + package com . yahoo . zookeeper . test ; <nl> <nl> import java . io . IOException ;,Add missing pkg statement to test .,1
"mmm a / gradle / publish . gradle <nl> ppp b / gradle / publish . gradle <nl> artifacts { archives sourcesJar , javadocJar , testJar } <nl> publishing { <nl> publications { <nl> maven ( MavenPublication ) { <nl> + from components . java <nl> + <nl> artifact sourcesJar <nl> artifact javadocJar <nl> artifact testJar",add java components to publication,0
"mmm a / ee / src / main / java / org / jboss / as / ee / component / BasicComponentInstance . java <nl> ppp b / ee / src / main / java / org / jboss / as / ee / component / BasicComponentInstance . java <nl> public class BasicComponentInstance implements ComponentInstance { <nl> interceptorContext . setContextData ( new HashMap < String , Object > ( ) ) ; <nl> return interceptorContext ; <nl> } <nl> - <nl> - protected void finalize ( ) { <nl> - destroy ( ) ; <nl> - } <nl> }",Remove finalizer for BasicComponentInstance,0
"mmm a / example / ChatClient . java <nl> ppp b / example / ChatClient . java <nl> public class ChatClient extends WebSocketClient { <nl> } <nl> <nl> public void onIOError ( IOException ex ) { <nl> - super . onIOError ( ex ) ; <nl> ta . append ( "" Network problem . . . \n "" ) ; <nl> }",Remove invalid call to abstract method,0
"mmm EdgeDataTable . java <nl> ppp EdgeDataTable . java <nl> - Copyright 2008-2010 Gephi <nl> - Authors : Mathieu Bastian <mathieu . bastian@gephi . org>, Mathieu Jacomy, Julian Bilcke, Eduardo Ramos <nl> - Website : http://www . gephi . org <nl> - This file is part of Gephi .  <nl> - DO NOT ALTER OR REMOVE COPYRIGHT NOTICES OR THIS HEADER .  <nl> - Copyright 2011 Gephi Consortium .  All rights reserved .  <nl> - The contents of this file are subject to the terms of either the GNU <nl> - General Public License Version <nl>",disable data table auto editwindow selection because the call to findinstance in editwindowcontroller seem to randomly and rarely create exception,1
"mmm a / hazelcast / src / main / java / com / hazelcast / internal / jmx / NetworkingServiceMBean . java <nl> ppp b / hazelcast / src / main / java / com / hazelcast / internal / jmx / NetworkingServiceMBean . java <nl> public class NetworkingServiceMBean <nl> return - 1 ; <nl> } <nl> <nl> - return cem . getConnections ( ) . size ( ) ; <nl> + return cem . getActiveConnections ( ) . size ( ) ; <nl> } <nl> <nl> @ ManagedAnnotation ( "" activeConnectionCount "" )",use the correct method to get client connection count ( <issue_id> ),1
"mmm a / src / main / src / main / java / org / geoserver / security / password / URLMasterPasswordProvider . java <nl> ppp b / src / main / src / main / java / org / geoserver / security / password / URLMasterPasswordProvider . java <nl> static InputStream input ( URL url , File configDir ) throws IOException { <nl> } <nl> } <nl> <nl> - static class URLMasterPasswordProviderValidator extends SecurityConfigValidator { <nl> + public static class URLMasterPasswordProviderValidator extends SecurityConfigValidator { <nl> <nl> public URLMasterPasswordProviderValidator ( GeoServerSecurityManager securityManager ) { <nl> super ( securityManager ) ;",made class public for testing purposes,1
mmm a / lib / yoga / src / main / java / com / facebook / yoga / YogaConfig . java <nl> ppp b / lib / yoga / src / main / java / com / facebook / yoga / YogaConfig . java <nl> public class YogaConfig { <nl> long mNativePointer ; <nl> private YogaLogger mLogger ; <nl> private YogaNodeCloneFunction mYogaNodeCloneFunction ; <nl> - public boolean avoidGlobalJNIRefs = false ; <nl> <nl> private native long jni_YGConfigNew ( ) ; <nl> public YogaConfig ( ) {,Remove configuration for avoiding JNI refs .,1
mmm AsyncHttpDeferredObject . java <nl> ppp AsyncHttpDeferredObject . java <nl>  <nl> mmm ContentWriteProgress . java <nl> ppp ContentWriteProgress . java <nl>  <nl> mmm HttpProgress . java <nl> ppp HttpProgress . java <nl>  <nl> mmm HttpResponseBodyPartProgress . java <nl> ppp HttpResponseBodyPartProgress . java <nl>  <nl> mmm AsyncHttpTest . java <nl> ppp AsyncHttpTest . java <nl>  <nl>,add os header,0
mmm NonAlignEngineDataSet . java <nl> ppp NonAlignEngineDataSet . java <nl> + import java . io . IOException ; <nl> + import java . nio . ByteBuffer ; <nl> + import java . util . ArrayList ; <nl> + import java . util . Arrays ; <nl> + import java . util . List ; <nl> + import java . util . concurrent . BlockingQueue ; <nl> + import java . util . concurrent . LinkedBlockingQueue ; <nl> - import org . apache . iotdb . db . query . reader . ManagedSeriesReader ; <nl> + import org . apache <nl>,refactor 75 % raw data query,0
mmm a / api / src / main / java / org / asynchttpclient / AsyncHttpClientConfig . java <nl> ppp b / api / src / main / java / org / asynchttpclient / AsyncHttpClientConfig . java <nl> public class AsyncHttpClientConfig { <nl> private boolean spdyEnabled ; <nl> private int spdyInitialWindowSize = 10 * 1024 * 1024 ; <nl> private int spdyMaxConcurrentStreams = 100 ; <nl> - private boolean rfc6265CookieEncoding ; <nl> + private boolean rfc6265CookieEncoding = true ; <nl> private boolean asyncConnectMode ; <nl> <nl> public Builder ( ) {,"Enable RFC6265 cookies by default , first step for <issue_id>",1
"mmm a / core / src / main / java / org / hibernate / dialect / Oracle8iDialect . java <nl> ppp b / core / src / main / java / org / hibernate / dialect / Oracle8iDialect . java <nl> public class Oracle8iDialect extends Dialect { <nl> } <nl> <nl> protected void registerDateTimeTypeMappings ( ) { <nl> + registerColumnType ( Types . DATE , "" date "" ) ; <nl> + registerColumnType ( Types . TIME , "" date "" ) ; <nl> registerColumnType ( Types . TIMESTAMP , "" date "" ) ; <nl> }",missing type mapping for DATE and TIME on Oracle8iDialect .,0
mmm a / liquibase - core / src / main / java / liquibase / database / core / CockroachDatabase . java <nl> ppp b / liquibase - core / src / main / java / liquibase / database / core / CockroachDatabase . java <nl> public class CockroachDatabase extends PostgresDatabase { <nl> <nl> return false ; <nl> } <nl> + <nl> },Added cockroachdb support to tests,0
"mmm a / src / org / thoughtcrime / securesms / ApplicationContext . java <nl> ppp b / src / org / thoughtcrime / securesms / ApplicationContext . java <nl> public class ApplicationContext extends MultiDexApplication implements Dependenc <nl> add ( "" Moto G4 "" ) ; <nl> add ( "" TA - 1053 "" ) ; <nl> add ( "" Mi A1 "" ) ; <nl> + add ( "" E5823 "" ) ; / / Sony z5 compact <nl> } } ; <nl> <nl> Set < String > OPEN_SL_ES_WHITELIST = new HashSet < String > ( ) { {",Add z5 compact ( E5823 ) to AEC blacklist .,0
"new file <nl> ppp Minecraft . java . patch <nl> + ---  .  . /src-base/minecraft/net/minecraft/client/Minecraft . java <nl> + @@ -344,7 +344,6 @@ <nl> + this . field_152355_az = (new YggdrasilAuthenticationService(this . field_110453_aa, UUID . randomUUID() . toString())) . createMinecraftSessionService() ; <nl> + this . field_71449_j = p_i45547_1_ . field_178745_a . field_178752_a ; <nl> + field_147123_G . info(""Setting user: {}"", (Object)this . field_71449_j . func_111285_a()) ; <nl> + -        field_147123_G . debug(""(Session ID is {})"", (Object)this . field_71449_j . func_111286_b()) ; <nl> + this . field_71459_aj = p_i45547_1_ . field_178741_d <nl>","add my 'patches_old ' directory , so that people can see my `` progress ''",1
"mmm a / core / src / main / java / org / axonframework / eventsourcing / eventstore / AbstractSequencedDomainEventEntry . java <nl> ppp b / core / src / main / java / org / axonframework / eventsourcing / eventstore / AbstractSequencedDomainEventEntry . java <nl> <nl> public abstract class AbstractSequencedDomainEventEntry < T > extends AbstractDomainEventEntry < T > implements DomainEventData < T > { <nl> <nl> @ Id <nl> - @ GeneratedValue ( strategy = GenerationType . IDENTITY ) <nl> + @ GeneratedValue <nl> @ SuppressWarnings ( "" unused "" ) <nl> private long globalIndex ;","Removed requirement for \"" identity \"" type auto generated ID .",0
mmm KrakenAdapters . java <nl> ppp KrakenAdapters . java <nl> + public static void verifyOrderBook(OrderBook orderBook){ <nl> + orderBook . getAsks() . removeIf(ask-> (orderBook . getBids() . get(0) . getLimitPrice() . compareTo(ask . getLimitPrice()) >= 0 && ask . getTimestamp() . before(orderBook . getBids() . get(0) . getTimestamp()))) ; <nl> + orderBook . getBids() . removeIf(bid-> (orderBook . getAsks() . get(0) . getLimitPrice() . compareTo(bid . getLimitPrice()) <= 0 && bid . getTimestamp() . before(orderBook . getAsks() . get(0) . getTimestamp()))) ; <nl> + } <nl> mmm KrakenAdaptersTest . java <nl> ppp KrakenAdaptersTest . java <nl> + import java <nl>,add verifyorderbook method on krakenadapters in order to verify that limitprice be sort corrected use on krakenstreamingorderbook,1
mmm a / robolectric / src / test / java / org / robolectric / RobolectricTestRunnerTest . java <nl> ppp b / robolectric / src / test / java / org / robolectric / RobolectricTestRunnerTest . java <nl> public class RobolectricTestRunnerTest { <nl> <nl> / / / / / / / / / / / / / / / / / / / / / / / / / / / / / <nl> <nl> + / * * To simulate failures . * / <nl> public static class AndroidTestEnvironmentWithFailingSetUp extends AndroidTestEnvironment { <nl> <nl> public AndroidTestEnvironmentWithFailingSetUp (,Add javadoc to silence lint .,0
mmm a / shadows / framework / src / main / java / org / robolectric / shadows / ShadowPackageManager . java <nl> ppp b / shadows / framework / src / main / java / org / robolectric / shadows / ShadowPackageManager . java <nl> public class ShadowPackageManager { <nl> verificationResults . clear ( ) ; <nl> verificationTimeoutExtension . clear ( ) ; <nl> currentToCanonicalNames . clear ( ) ; <nl> + canonicalToCurrentNames . clear ( ) ; <nl> componentList . clear ( ) ; <nl> drawableList . clear ( ) ; <nl> applicationIcons . clear ( ) ;,Add canonicalToCurrentNames to ShadowPackageManager # reset .,0
mmm a / common / test / com / thoughtworks / go / presentation / renderer / FreemarkerRendererTest . java <nl> ppp b / common / test / com / thoughtworks / go / presentation / renderer / FreemarkerRendererTest . java <nl> import static org . junit . Assert . assertThat ; <nl> <nl> public class FreemarkerRendererTest { <nl> <nl> + @ org . junit . Ignore <nl> @ Test <nl> public void shouldRenderIfFor_oneArgPredicate ( ) throws Exception { <nl> ExecTask task = new ExecTask ( ) ;,Ignoring FreemarkerRendererTest for now .,0
"mmm a / src / soot / jimple / internal / AbstractSpecialInvokeExpr . java <nl> ppp b / src / soot / jimple / internal / AbstractSpecialInvokeExpr . java <nl> public abstract class AbstractSpecialInvokeExpr extends AbstractInstanceInvokeEx <nl> return false ; <nl> } <nl> } <nl> - return false ; <nl> + return true ; <nl> } <nl> <nl> / * * Returns a hash code for this object , consistent with structural equality . * /",fixing equivTo - thanks to Michael Faes !,0
"mmm a / src / main / java / org / elasticsearch / index / gateway / IndexShardGateway . java <nl> ppp b / src / main / java / org / elasticsearch / index / gateway / IndexShardGateway . java <nl> public class IndexShardGateway extends AbstractIndexShardComponent implements Cl <nl> } <nl> } <nl> } <nl> + <nl> + @ Override <nl> + public String toString ( ) { <nl> + return "" shard_gateway "" ; <nl> + } <nl> }",Add toString ( ) to IndexShardGateway,0
mmm a / protocol / src / main / java / io / zeebe / protocol / intent / Intent . java <nl> ppp b / protocol / src / main / java / io / zeebe / protocol / intent / Intent . java <nl> public interface Intent <nl> case NOOP : <nl> return Intent . UNKNOWN ; <nl> case RAFT : <nl> - return Intent . UNKNOWN ; <nl> + return RaftIntent . valueOf ( intent ) ; <nl> case SUBSCRIBER : <nl> return SubscriberIntent . valueOf ( intent ) ; <nl> case SUBSCRIPTION :,add intent mapping for raft .,0
"mmm a / AndroidAnnotations / androidannotations - core / androidannotations / src / main / java / org / androidannotations / handler / AnnotationHandler . java <nl> ppp b / AndroidAnnotations / androidannotations - core / androidannotations / src / main / java / org / androidannotations / handler / AnnotationHandler . java <nl> public interface AnnotationHandler < T extends GeneratedClassHolder > { <nl> ElementValidation validate ( Element element ) ; <nl> <nl> void process ( Element element , T holder ) throws Exception ; <nl> + <nl> + boolean isEnabled ( ) ; <nl> }",add isEnabled ( ) to AnnotationHandler,0
"mmm a / hazelcast / src / main / java / com / hazelcast / cluster / PostJoinOperation . java <nl> ppp b / hazelcast / src / main / java / com / hazelcast / cluster / PostJoinOperation . java <nl> import com . hazelcast . spi . impl . ResponseHandlerFactory ; <nl> import java . io . IOException ; <nl> import java . util . Arrays ; <nl> <nl> - public class PostJoinOperation extends AbstractOperation implements UrgentSystemOperation { <nl> + public class PostJoinOperation extends AbstractOperation implements UrgentSystemOperation , JoinOperation { <nl> <nl> private Operation [ ] operations ;",Added JoinOperation marker to the PostJoinOperation to reduce false alarm logs while joining / merging,1
mmm a / src / com / google / javascript / jscomp / PolymerPass . java <nl> ppp b / src / com / google / javascript / jscomp / PolymerPass . java <nl> import java . util . Set ; <nl> * <nl> * < p > Only works with Polymer version 0 . 8 and above . <nl> * <nl> + * <nl> * @ author jlklein @ google . com ( Jeremy Klein ) <nl> * / <nl> final class PolymerPass extends AbstractPostOrderCallback implements HotSwapCompilerPass {,Add link to documentation about the Polymer pass,0
mmm a / core / common / src / test / java / alluxio / wire / LockBlockResultTest . java <nl> ppp b / core / common / src / test / java / alluxio / wire / LockBlockResultTest . java <nl> import org . junit . Test ; <nl> <nl> import java . util . Random ; <nl> <nl> - public class LockBlockResultTest { <nl> + public final class LockBlockResultTest { <nl> <nl> @ Test <nl> public void json ( ) throws Exception {,add final to the class,0
mmm a / runelite - mixins / src / main / java / net / runelite / mixins / RSClientMixin . java <nl> ppp b / runelite - mixins / src / main / java / net / runelite / mixins / RSClientMixin . java <nl> public abstract class RSClientMixin implements RSClient <nl> . maximumSize ( 64 ) <nl> . build ( ) ; <nl> <nl> + @ Inject <nl> + public RSClientMixin ( ) <nl> + { <nl> + } <nl> + <nl> @ Inject <nl> @ Override <nl> public Callbacks getCallbacks ( ),inject Client constructor for initialization of enumCache,1
"mmm a / build . gradle <nl> ppp b / build . gradle <nl> subprojects { <nl> <nl> group = "" com . netflix . $ { githubProjectName } "" <nl> <nl> - / / sourceSets . test . java . srcDir ' src / main / java ' <nl> - <nl> - / * tasks . withType ( Javadoc ) . each { <nl> - it . classpath = sourceSets . main . compileClasspath <nl> - } * / <nl> - <nl> eclipse { <nl> classpath { <nl> / / include ' provided ' dependencies on the classpath",Removed lines don \' t cause javadoc or tests to fail so deleted,1
mmm a / src / org / graylog2 / messagehandlers / gelf / GELFServer . java <nl> ppp b / src / org / graylog2 / messagehandlers / gelf / GELFServer . java <nl> import java . io . * ; <nl> import java . util . zip . Inflater ; <nl> <nl> public class GELFServer { <nl> - private static final int MAX_PACKET_SIZE = 4096 ; <nl> + private static final int MAX_PACKET_SIZE = 8192 ; <nl> <nl> private DatagramSocket serverSocket = null ;,Raised maximum size of GELF messages to 8192 byte,0
mmm a / aeron - cluster / src / test / java / io / aeron / cluster / DynamicClusterTest . java <nl> ppp b / aeron - cluster / src / test / java / io / aeron / cluster / DynamicClusterTest . java <nl> public class DynamicClusterTest <nl> } <nl> <nl> @ Test ( timeout = 10_000 ) <nl> - public void shouldDynamicallyJoinClusterOfThree ( ) throws Exception <nl> + public void shouldDynamicallyJoinClusterOfThreeNoSnapshots ( ) throws Exception <nl> { <nl> for ( int i = 0 ; i < STATIC_MEMBER_COUNT ; i + + ) <nl> {,rename test for clarity .,1
mmm a / core / src / main / java / io / undertow / server / handlers / proxy / ProxyHandler . java <nl> ppp b / core / src / main / java / io / undertow / server / handlers / proxy / ProxyHandler . java <nl> public final class ProxyHandler implements HttpHandler { <nl> } <nl> } <nl> <nl> + public ProxyClient getProxyClient ( ) { <nl> + return proxyClient ; <nl> + } <nl> + <nl> private final class ProxyClientHandler implements ProxyCallback < ClientConnection > { <nl> <nl> @ Override,Add getter to allow the proxy client to be retrieved,1
"mmm a / src / com / facebook / buck / rules / modern / builders / LocalFallbackStrategy . java <nl> ppp b / src / com / facebook / buck / rules / modern / builders / LocalFallbackStrategy . java <nl> public class LocalFallbackStrategy implements BuildRuleStrategy { <nl> completeCombinedFutureWithException ( <nl> new RemoteActionCancelledException ( <nl> "" Unable to fall back to Local Strategy , execution has been cancelled "" ) , <nl> - remoteBuildResult . get ( ) , <nl> + Result . CANCELLED , <nl> Result . NOT_RUN ) ; <nl> return ; <nl> }",Reset broken actions to cancelled state .,0
mmm a / findbugs / src / junit / edu / umd / cs / findbugs / cloud / AbstractCloudTest . java <nl> ppp b / findbugs / src / junit / edu / umd / cs / findbugs / cloud / AbstractCloudTest . java <nl> public class AbstractCloudTest extends TestCase { <nl> throw new UnsupportedOperationException ( ) ; <nl> } <nl> <nl> - public void waitForIssueSync ( ) { <nl> + public void waitUntilIssueDataDownloaded ( ) { <nl> } <nl> <nl> @ Override,Add test to make sure waitUntilIssueDataDownloaded returns immediately if data are already downloaded .,1
mmm BeamSqlSeekableTable . java <nl> ppp BeamSqlSeekableTable . java <nl> - void setup() ; <nl> + default void setUp(){} ; <nl> - void teardown() ; <nl> + default void tearDown(){} ; <nl> mmm BeamJoinTransforms . java <nl> ppp BeamJoinTransforms . java <nl> - seekableTable . setup() ; <nl> + seekableTable . setUp() ; <nl> - seekableTable . teardown() ; <nl> + seekableTable . tearDown() ; <nl> mmm BeamJoinRelUnboundedVsBoundedTest . java <nl> ppp BeamJoinRelUnboundedVsBoundedTest . java <nl> - @Override <nl> - public void setup() { <nl> - } <nl> - @Override <nl> - public void teardown() { <nl> - } <nl>,rename method a suggest and declare a default method,0
"mmm Position . java <nl> ppp Position . java <nl> - public static final String KEY_VERSION = ""version"" ; <nl> + public static final String KEY_VERSION_FW = ""versionFw"" ; <nl> + public static final String KEY_VERSION_HW = ""versionHw"" ; <nl> + public static final String KEY_ACCELERATION = ""acceleration"" ; <nl> + public static final String KEY_DEVICE_TEMP = ""deviceTemp"" ; <nl> mmm CarcellProtocolDecoder . java <nl> ppp CarcellProtocolDecoder . java <nl> - position . set(""accel"", parser . nextInt()) ; <nl> + position . set(Position . KEY_ACCELERATION, parser . nextInt()) ; <nl> mmm GalileoProtocolDecoder . java <nl> ppp GalileoProtocolDecoder . java <nl>",add new galileo attribute,0
"mmm BitfinexAdaptersTest . java <nl> ppp BitfinexAdaptersTest . java <nl> - private final static String MARKET = ""bitfinex"" ; <nl> - private final static String EXCHANGE = ""exchange"" ; <nl> - private final static String SYMBOL = ""BTCUSD"" ; <nl> + private final static String MARKET = ""bitfinex"" ; <nl> + private final static String EXCHANGE = ""exchange"" ; <nl> + private final static String SYMBOL = ""BTCUSD"" ; <nl> - @Test <nl> - public void testAdaptOrdersToOrdersContainer() { <nl> + @Test <nl> + public void testAdaptOrdersToOrdersContainer() { <nl> - BitfinexLevel[] levels = initLevels() ; <nl> - BitfinexAdapters . OrdersContainer <nl>",change indention to 2 space in order to adapt the exist coding style,1
mmm a / app / test / processing / app / AbstractGUITest . java <nl> ppp b / app / test / processing / app / AbstractGUITest . java <nl> public abstract class AbstractGUITest { <nl> FailOnThreadViolationRepaintManager . install ( ) ; <nl> <nl> BaseNoGui . initPlatform ( ) ; <nl> + BaseNoGui . getPlatform ( ) . init ( ) ; <nl> PreferencesData . init ( null ) ; <nl> JPopupMenu . setDefaultLightWeightPopupEnabled ( false ) ; <nl> Theme . init ( ) ;,Missing call to BaseNoGui . getPlatform ( ) . init ( ) in tests,0
mmm a / src / java / voldemort / server / AbstractService . java <nl> ppp b / src / java / voldemort / server / AbstractService . java <nl> public abstract class AbstractService implements VoldemortService { <nl> <nl> private static final Logger logger = Logger . getLogger ( VoldemortService . class ) ; <nl> <nl> - private AtomicBoolean isStarted ; <nl> + private final AtomicBoolean isStarted ; <nl> private final String name ; <nl> <nl> public AbstractService ( String name ) {,Add final modifier to AtomicBoolean isStarted .,0
mmm a / pom . xml . in <nl> ppp b / pom . xml . in <nl> <nl> < excludes > <nl> < exclude > * * / client / * . java < / exclude > <nl> < / excludes > <nl> + < testExcludes > <nl> + < exclude > * * / TestGraphHandler . java < / exclude > <nl> + < / testExcludes > <nl> < / configuration > <nl> < / plugin >,Disable the TestGraphHandler . java class for maven unit tests .,0
"mmm a / src / org / thoughtcrime / securesms / jobmanager / JobSchedulerScheduler . java <nl> ppp b / src / org / thoughtcrime / securesms / jobmanager / JobSchedulerScheduler . java <nl> public class JobSchedulerScheduler implements Scheduler { <nl> private static final String PREF_NAME = "" JobSchedulerScheduler_prefs "" ; <nl> private static final String PREF_NEXT_ID = "" pref_next_id "" ; <nl> <nl> - private static final int MAX_ID = 1000 ; <nl> + private static final int MAX_ID = 75 ; <nl> <nl> private final Application application ;",Reduce the possible number of unique jobs to avoid crash,1
mmm a / hotspot / test / TEST . groups <nl> ppp b / hotspot / test / TEST . groups <nl> hotspot_runtime = \ <nl> <nl> hotspot_serviceability = \ <nl> sanity / ExecuteInternalVMTests . java \ <nl> - serviceability / dcmd / compiler <nl> + serviceability / dcmd / compiler \ <nl> + serviceability / logging <nl> <nl> hotspot_jprt = \ <nl> : hotspot_compiler_1 \,Add serviceability / logging folder to hotspot_serviceability test group .,0
"mmm a / core / src / main / java / org / springframework / security / ui / rememberme / AbstractRememberMeServices . java <nl> ppp b / core / src / main / java / org / springframework / security / ui / rememberme / AbstractRememberMeServices . java <nl> public abstract class AbstractRememberMeServices implements RememberMeServices , <nl> protected AuthenticationDetailsSource getAuthenticationDetailsSource ( ) { <nl> return authenticationDetailsSource ; <nl> } <nl> + <nl> + public void setAuthenticationDetailsSource ( AuthenticationDetailsSource authenticationDetailsSource ) { <nl> + this . authenticationDetailsSource = authenticationDetailsSource ; <nl> + } <nl> }",Added setter for authenticationDetailsSource to AbstractRememberMeServices,0
mmm a / core / camel - base / src / main / java / org / apache / camel / impl / engine / DefaultRoute . java <nl> ppp b / core / camel - base / src / main / java / org / apache / camel / impl / engine / DefaultRoute . java <nl> public class DefaultRoute extends ServiceSupport implements Route { <nl> } <nl> <nl> public void initialized ( ) { <nl> - <nl> + errorHandlers . clear ( ) ; <nl> + eventDrivenProcessors . clear ( ) ; <nl> } <nl> },Remove references to error handler and event driven processors once creation is finished,0
mmm a / doc / build . md <nl> ppp b / doc / build . md <nl> Build bisq <nl> <nl> Now we have all prepared to build the correct bisq jar . <nl> <nl> + $ git clone https : / / github . com / bitsquare / bitsquare . git <nl> $ cd bisq <nl> $ mvn clean package verify - DskipTests - Dmaven . javadoc . skip = true,Add command for git checkout of bisq,1
mmm ResourceLoader . java <nl> ppp ResourceLoader . java <nl>  <nl> mmm SolrDocument . java <nl> ppp SolrDocument . java <nl>  <nl> mmm SolrDocumentList . java <nl> ppp SolrDocumentList . java <nl>  <nl> mmm SolrException . java <nl> ppp SolrException . java <nl>  <nl> mmm SolrInputDocument . java <nl> ppp SolrInputDocument . java <nl>  <nl> mmm SolrInputField . java <nl> ppp SolrInputField . java <nl>  <nl> mmm FieldFlag . java <nl> ppp FieldFlag . java <nl>  <nl> mmm AppendedSolrParams . java <nl> ppp AppendedSolrParams . java <nl>  <nl> mmm CommonParams . <nl>,move solrj into /src/solrj,0
mmm a / src / main / java / net / openhft / chronicle / queue / impl / single / SingleChronicleQueueExcerpts . java <nl> ppp b / src / main / java / net / openhft / chronicle / queue / impl / single / SingleChronicleQueueExcerpts . java <nl> public class SingleChronicleQueueExcerpts { <nl> <nl> } <nl> <nl> - class StoreTailerContext extends ReadDocumentContext { <nl> + class StoreTailerContext extends BinaryReadDocumentContext { <nl> StoreTailerContext ( ) { <nl> super ( null ) ; <nl> },Allow TextWire to write binary headers as well as plain text .,0
mmm a / dexlib2 / src / main / java / org / jf / dexlib2 / Opcode . java <nl> ppp b / dexlib2 / src / main / java / org / jf / dexlib2 / Opcode . java <nl> public enum Opcode <nl> case 0x300 : <nl> return ARRAY_PAYLOAD ; <nl> default : <nl> + / / TODO : handle unknown opcodes ( treat as nop ) <nl> return opcodesByValue [ opcodeValue ] ; <nl> } <nl> },Add TODO reminder to add support for unknown opcodes,0
mmm a / src / main / java / org / bukkit / material / SimpleAttachableMaterialData . java <nl> ppp b / src / main / java / org / bukkit / material / SimpleAttachableMaterialData . java <nl> public abstract class SimpleAttachableMaterialData extends MaterialData implemen <nl> } <nl> <nl> public BlockFace getFacing ( ) { <nl> - return getAttachedFace ( ) . getOppositeFace ( ) ; <nl> + BlockFace attachedFace = getAttachedFace ( ) ; <nl> + return attachedFace = = null ? null : attachedFace . getOppositeFace ( ) ; <nl> } <nl> <nl> @ Override,Add null check to getFacing ( ) to fix BUKKIT - 1249,1
"mmm Minecraft . java . patch <nl> ppp Minecraft . java . patch <nl> - @@ -416,14 +416,15 @@ <nl> + @@ -416,13 +416,13 @@ <nl> - +      DatapackCodec . field_234880_a_ . addModPacks(net . minecraftforge . common . ForgeHooks . getModPacks()) ; <nl> - this . field_110451_am . func_219534_a(this . field_135017_as) ; <nl> - @@ -463,6 +464,7 @@ <nl> + @@ -463,6 +463,7 @@ <nl> - @@ -470,7 +472,8 @@ <nl> + @@ -470,7 +471,8 @@ <nl> - @@ -482,11 +485,6 @@ <nl> + @@ -482,11 +484,6 @@ <nl> - @@ -495,7 +493,14 @@ <nl>",fix up all the thing remove sidedprovider because it serve no real purpose anymore,1
